Date,Station,SO2,NO2,CO,PM2.5,PM10,AQI Index,AQI Value,Prominent Pollutant
29-Jun,Royapuram,3,16,0.6,14,64,Satisfactory,64,PM10
29-Jun,Manali,9,10,0.6,24,70,Satisfactory,70,PM10
30-Jun,Kodungaiyur,4,12,0.6,13,53,Satisfactory,53,PM10
30-Jun,Koyambedu,10,6,-,13,52,Satisfactory,52,PM10
30-Jun,Perungudi,4,15,0.6,17,82,Satisfactory,82,PM10
30-Jun,Royapuram,3,15,0.6,14,50,Good,50,PM10
30-Jun,Manali,8,9,0.7,37,55,Satisfactory,55,PM10
01-Jul,Kodungaiyur,4,12,0.6,11,44,Good,44,PM10
01-Jul,Koyambedu,10,6,-,13,43,Good,43,PM10
01-Jul,Perungudi,4,13,0.6,13,65,Satisfactory,65,PM10
01-Jul,Royapuram,4,13,0.6,12,38,Good,38,PM10
01-Jul,Manali,8,9,0.7,34,59,Satisfactory,59,PM10
02-Jul,Kodungaiyur,4,17,0.7,14,67,Satisfactory,67,PM10
02-Jul,Koyambedu,9,8,-,19,58,Satisfactory,58,PM10
02-Jul,Perungudi,4,13,0.6,17,81,Satisfactory,81,PM10
02-Jul,Royapuram,4,19,0.7,21,65,Satisfactory,65,PM10
02-Jul,Manali,9,9,0.7,32,62,Satisfactory,62,PM10
03-Jul,Kodungaiyur,5,15,0.6,14,67,Satisfactory,67,PM10
03-Jul,Koyambedu,7,6,-,11,53,Satisfactory,53,PM10
03-Jul,Perungudi,5,18,0.6,13,69,Satisfactory,69,PM10
03-Jul,Royapuram,3,20,0.6,13,62,Satisfactory,62,PM10
03-Jul,Manali,9,6,0.6,29,54,Satisfactory,54,PM10
04-Jul,Kodungaiyur,3,15,0.6,9,41,Good,41,PM10
04-Jul,Koyambedu,6,7,-,12,43,Good,43,PM10
04-Jul,Perungudi,4,12,0.6,15,48,Good,48,PM10
04-Jul,Royapuram,5,29,0.6,16,45,Good,45,PM10
04-Jul,Manali,8,5,0.7,35,55,Satisfactory,58,PM2.5
05-Jul,Kodungaiyur,3,16,0.6,12,50,,50,PM10
05-Jul,Koyambedu,6,6,0.4,12,52,Satisfactory,52,PM10
05-Jul,Perungudi,,,,,N/A (EB Power supply issue),,,
05-Jul,Royapuram,4,26,0.5,15,55,,55,PM10
05-Jul,Manali,8,8,0.6,32,62,Satisfactory,62,PM10
06-Jul,Kodungaiyur,4,18,0.6,12,46,Good,46,PM10
06-Jul,Koyambedu,7,8,-,18,44,Good,44,PM10
06-Jul,Perungudi,,,,,N/A PC Problem,,,
06-Jul,Royapuram,4,34,0.6,17,47,Good,47,PM10
06-Jul,Manali,7,10,0.6,35,47,Satisfactory,47,PM10
07-Jul,Kodungaiyur,3,18,0.7,13,56,Satisfactory,56,PM10
07-Jul,Koyambedu,6,7,-,15,59,Satisfactory,59,PM10
07-Jul,Perungudi,4,20,0.7,14,58,Satisfactory,58,PM10
07-Jul,Royapuram,3,27,0.6,16,54,Satisfactory,54,PM10
07-Jul,Manali,,,,,N/A (PC Issue),,,
08-Jul,Kodungaiyur,4,13,0.6,9,33,Good,33,PM10
08-Jul,Koyambedu,6,7,-,12,33,Good,33,PM10
08-Jul,Perungudi,4,16,0.6,14,42,Good,42,PM10
08-Jul,Royapuram,4,31,0.7,15,43,Good,43,PM10
08-Jul,Manali,8,6,0.9,38,65,Satisfactory,65,PM10
09-Jul,Kodungaiyur,5,20,0.8,13,53,Satisfactory,53,PM10
09-Jul,Koyambedu,7,8,-,18,56,Satisfactory,56,PM10
09-Jul,Perungudi,4,18,0.7,20,52,Satisfactory,52,PM10
09-Jul,Royapuram,4,34,0.8,20,59,Satisfactory,59,PM10
09-Jul,Manali,11,5,0.8,28,55,Satisfactory,55,PM10
10-Jul,Kodungaiyur,5,14,0.6,13,55,Satisfactory,55,PM10
10-Jul,Koyambedu,7,6,-,16,60,Satisfactory,60,PM10
10-Jul,Perungudi,4,18,0.6,15,55,Satisfactory,55,PM10
10-Jul,Royapuram,4,26,0.5,15,59,Satisfactory,59,PM10
10-Jul,Manali,13,8,0.8,40,63,Satisfactory,67,PM10
11-Jul,Kodungaiyur,4,17,0.6,11,42,Good,42,PM10
11-Jul,Koyambedu,6,8,-,15,43,Good,43,PM10
11-Jul,Perungudi,4,14,0.6,15,51,Satisfactory,51,PM10
11-Jul,Royapuram,4,31,0.7,19,48,Good,48,PM10
11-Jul,Manali,11,7,0.8,35,62,Satisfactory,62,PM10
12-Jul,Kodungaiyur,5,14,0.6,13,50,Satisfactory,50,PM10
12-Jul,Koyambedu,7,6,-,21,64,Satisfactory,64,PM10
12-Jul,Perungudi,4,14,0.6,22,67,Satisfactory,67,PM10
12-Jul,Royapuram,3,26,0.6,22,56,Satisfactory,56,PM10
12-Jul,Manali,12,15,0.6,53,82,Satisfactory,82,PM10
13-Jul,Kodungaiyur,4,12,0.6,9,29,Good,29,PM10
13-Jul,Koyambedu,6,6,-,11,33,Good,33,PM10
13-Jul,Perungudi,4,13,0.6,8,33,Good,33,PM10
13-Jul,Royapuram,4,25,0.6,9,29,Good,29,PM10
13-Jul,Manali,10,12,0.6,28,66,Satisfactory,66,PM10
14-Jul,Kodungaiyur,4,19,0.6,13,49,Good,49,PM10
14-Jul,Koyambedu,7,7,-,16,51,Satisfactory,51,PM10
14-Jul,Perungudi,4,13,0.7,19,53,Satisfactory,53,PM10
14-Jul,Royapuram,6,30,0.7,17,50,Good,50,PM10
14-Jul,Manali,9,7,0.7,31,59,Satisfactory,59,PM10
15-Jul,Kodungaiyur,5,17,0.6,10,31,Good,31,PM10
15-Jul,Koyambedu,7,6,-,14,34,Good,34,PM10
15-Jul,Perungudi,4,15,0.5,10,29,Good,29,PM10
15-Jul,Royapuram,6,30,0.7,14,33,Good,33,PM10
15-Jul,Manali,9,10,0.7,35,61,Satisfactory,61,PM10
16-Jul,Kodungaiyur,5,15,0.6,8,30,Good,30,PM10
16-Jul,Koyambedu,6,7,-,7,28,Good,28,PM10
16-Jul,Perungudi,4,13,0.6,7,25,Good,31,PM10
16-Jul,Royapuram,6,30,0.5,9,42,Good,42,PM10
16-Jul,Manali,10,1,0.9,22,51,Moderate,51,PM10
17-Jul,Kodungaiyur,5,15,0.7,12,46,Good,46,PM10
17-Jul,Koyambedu,7,7,-,10,48,Good,48,PM10
17-Jul,Perungudi,4,14,0.6,11,44,Good,44,PM10
17-Jul,Royapuram,6,30,0.8,12,58,Satisfactory,58,PM10
17-Jul,Manali,10,19,0.7,28,70,Satisfactory,70,PM10
18-Jul,Kodungaiyur,4,15,0.6,9,43,Good,43,PM10
18-Jul,Koyambedu,6,5,-,7,45,Good,45,PM10
18-Jul,Perungudi,3,15,0.6,10,77,Satisfactory,77,PM10
18-Jul,Royapuram,5,29,0.6,12,55,Satisfactory,55,PM10
18-Jul,Manali,10,8,0.8,28,53,Satisfactory,53,PM10
19-Jul,Kodungaiyur,4,16,0.5,8,33,,33,PM10
19-Jul,Koyambedu,6,5,0.4,6,32,Good,32,PM10
19-Jul,Perungudi,4,16,0.4,13,40,Good,40,PM10
19-Jul,Royapuram,7,31,0.5,9,44,,44,PM10
19-Jul,Manali,16,13,0.6,29,84,Satisfactory,84,PM10
20-Jul,Kodungaiyur,5,16,0.6,10,47,Good,47,PM10
20-Jul,Koyambedu,6,5,-,9,45,Good,45,PM10
20-Jul,Perungudi,5,16,0.6,15,53,Satisfactory,53,PM10
20-Jul,Royapuram,6,28,0.7,12,59,Satisfactory,59,PM10
20-Jul,Manali,10,28,0.8,22,54,Satisfactory,54,PM10
21-Jul,Kodungaiyur,4,18,0.7,18,82,Satisfactory,82,PM10
21-Jul,Koyambedu,6,7,-,11,72,Satisfactory,72,PM10
21-Jul,Perungudi,4,18,0.6,15,79,Satisfactory,79,PM10
21-Jul,Royapuram,7,12,0.8,12,91,Satisfactory,91,PM10
21-Jul,Manali,10,11,0.8,30,63,Satisfactory,63,PM10
22-Jul,Kodungaiyur,5,12,0.6,11,50,Good,50,PM10
22-Jul,Koyambedu,6,5,-,8,52,Satisfactory,52,PM10
22-Jul,Perungudi,5,17,0.6,13,75,Satisfactory,75,PM10
22-Jul,Royapuram,6,25,0.7,15,58,Satisfactory,58,PM10
22-Jul,Manali,9,12,0.9,28,70,Satisfactory,70,PM10
23-Jul,Kodungaiyur,4,18,0.7,15,66,Satisfactory,66,PM10
23-Jul,Koyambedu,6,8,-,13,58,Satisfactory,58,PM10
23-Jul,Perungudi,4,20,0.7,14,79,Satisfactory,79,PM10
23-Jul,Royapuram,7,32,0.8,14,72,Satisfactory,72,PM10
23-Jul,Manali,9,12,0.9,28,70,Satisfactory,70,PM10
24-Jul,Kodungaiyur,4,16,0.6,9,44,,44,PM10
24-Jul,Koyambedu,7,10,-,9,38,Good,38,PM10
24-Jul,Perungudi,5,17,0.5,12,66,Satisfactory,66,PM10
24-Jul,Royapuram,5,32,0.6,12,50,,50,PM10
24-Jul,Manali,11,33,0.8,18,68,Satisfactory,68,PM10
25-Jul,Kodungaiyur,4,15,0.7,11,55,Satisfactory,55,PM10
25-Jul,Koyambedu,6,11,-,12,56,Satisfactory,56,PM10
25-Jul,Perungudi,4,19,0.7,12,81,Satisfactory,81,PM10
25-Jul,Royapuram,6,31,0.8,14,66,Satisfactory,66,PM10
25-Jul,Manali,10,7,0.8,21,66,Satisfactory,66,PM10
26-Jul,Kodungaiyur,5,13,0.7,9,44,,44,PM10
26-Jul,Koyambedu,6,9,-,36,49,Good,49,PM10
26-Jul,Perungudi,4,18,0.7,9,65,Satisfactory,65,PM10
26-Jul,Royapuram,7,27,0.8,10,55,,55,PM10
26-Jul,Manali,10,9,0.9,22,69,Satisfactory,69,PM10
27-Jul,Kodungaiyur,23,26,0.6,10,50,Satisfactory,50,PM10
27-Jul,Koyambedu,6,10,-,13,49,Good,49,PM10
27-Jul,Perungudi,4,16,0.6,9,66,Satisfactory,66,PM10
27-Jul,Royapuram,8,28,0.7,12,61,Satisfactory,61,PM10
27-Jul,Manali,8,8,0.5,23,82,Satisfactory,82,PM10
28-Jul,Kodungaiyur,13,12,0.6,13,66,Satisfactory,66,PM10
28-Jul,Koyambedu,6,9,-,13,71,Satisfactory,71,PM10
28-Jul,Perungudi,4,16,0.6,13,81,Satisfactory,81,PM10
28-Jul,Royapuram,6,23,0.7,13,71,Satisfactory,71,PM10
28-Jul,Manali,9,8,0.5,22,70,Satisfactory,70,PM10
29-Jul,Kodungaiyur,20,15,0.6,14,59,Satisfactory,59,PM10
29-Jul,Koyambedu,6,8,-,10,59,Satisfactory,59,PM10
29-Jul,Perungudi,4,17,0.6,12,70,Satisfactory,70,PM10
29-Jul,Royapuram,4,25,0.4,14,66,Satisfactory,66,PM10
29-Jul,Manali,9,30,0.6,25,85,Satisfactory,85,PM10
30-Jul,Kodungaiyur,12,25,0.7,11,49,Good,49,PM10
30-Jul,Koyambedu,7,9,-,16,58,Satisfactory,58,PM10
30-Jul,Perungudi,4,16,0.6,18,91,Satisfactory,91,PM10
30-Jul,Royapuram,6,30,0.4,18,69,Satisfactory,69,PM10
30-Jul,Manali,9,14,0.6,24,68,Satisfactory,68,PM10
31-Jul,Kodungaiyur,12,16,0.7,9,40,Good,40,PM10
31-Jul,Koyambedu,5,9,-,12,43,Good,43,PM10
31-Jul,Perungudi,4,14,0.6,13,67,Satisfactory,67,PM10
31-Jul,Royapuram,6,29,0.2,12,44,Good,44,PM10
31-Jul,Manali,8,11,0.6,23,58,Satisfactory,58,PM10
01-Aug,Kodungaiyur,12,14,0.6,12,50,Good,50,PM10
01-Aug,Koyambedu,6,9,-,14,53,Satisfactory,53,PM10
01-Aug,Perungudi,3,15,0.6,18,99,Satisfactory,99,PM10
01-Aug,Royapuram,6,30,0.3,13,52,Satisfactory,52,PM10
01-Aug,Manali,9,5,0.5,26,69,Satisfactory,69,PM10
02-Aug,Kodungaiyur,3,13,0.6,10,45,Good,45,PM10
02-Aug,Koyambedu,6,9,-,14,48,Good,48,PM10
02-Aug,Perungudi,4,14,0.7,19,77,Satisfactory,77,PM10
02-Aug,Royapuram,6,30,0.5,14,50,Good,50,PM10
02-Aug,Manali,8,13,0.6,22,70,Satisfactory,70,PM10
03-Aug,Kodungaiyur,32,35,0.6,12,45,Good,45,PM10
03-Aug,Koyambedu,7,9,-,16,53,Satisfactory,53,PM10
03-Aug,Perungudi,5,17,0.7,17,48,Good,48,PM10
03-Aug,Royapuram,5,31,0.2,13,44,Good,44,PM10
03-Aug,Manali,7,16,0.6,40,60,Satisfactory,60,PM10
04-Aug,Kodungaiyur,11,14,0.6,8,37,Good,37,PM10
04-Aug,Koyambedu,5,9,-,10,40,Good,40,PM10
04-Aug,Perungudi,5,15,0.6,10,35,Good,35,PM10
04-Aug,Royapuram,5,30,0.3,12,40,Good,40,PM10
04-Aug,Manali,15,17,0.6,23,47,Good,47,PM10
05-Aug,Kodungaiyur,15,16,0.5,7,28,Good,28,PM10
05-Aug,Koyambedu,6,9,-,13,40,Good,40,PM10
05-Aug,Perungudi,3,14,0.6,12,33,Good,33,PM10
05-Aug,Royapuram,6,13,0.3,15,31,Good,31,PM10
05-Aug,Manali,8,5,0.7,30,57,Satisfactory,57,PM10
06-Aug,Kodungaiyur,13,14,0.6,7,30,Good,30,PM10
06-Aug,Koyambedu,6,9,-,10,36,Good,36,PM10
06-Aug,Perungudi,4,13,0.6,8,33,Good,33,PM10
06-Aug,Royapuram,6,33,0.3,11,40,Good,40,PM10
06-Aug,Manali,12,10,0.6,28,70,Satisfactory,70,PM10
07-Aug,Kodungaiyur,22,15,0.5,6,28,Good,28,PM10
07-Aug,Koyambedu,6,10,-,11,28,Good,28,PM10
07-Aug,Perungudi,4,14,0.4,6,23,Good,23,PM10
07-Aug,Royapuram,5,37,0.3,14,31,Good,31,PM10
07-Aug,Manali,13,10,0.6,25,56,Satisfactory,56,PM10
08-Aug,Kodungaiyur,20,17,0.6,10,38,Good,38,PM10
08-Aug,Koyambedu,6,9,-,15,41,Good,41,PM10
08-Aug,Perungudi,5,12,0.7,9,36,Good,36,PM10
08-Aug,Royapuram,5,12,0.2,14,36,Good,36,PM10
08-Aug,Manali,11,6,0.6,28,60,Satisfactory,60,PM10
09-Aug,Kodungaiyur,20,22,0.6,8,38,Good,38,PM10
09-Aug,Koyambedu,6,9,-,13,39,Good,39,PM10
09-Aug,Perungudi,4,11,0.6,6,26,Good,26,PM10
09-Aug,Royapuram,5,29,0.6,11,36,Good,36,PM10
09-Aug,Manali,13,3,0.6,27,46,Good,46,PM10
10-Aug,Kodungaiyur,16,22,0.7,7,31,Good,31,PM10
10-Aug,Koyambedu,6,11,-,14,32,Good,32,PM10
10-Aug,Perungudi,4,11,-,8,35,Good,35,PM10
10-Aug,Royapuram,7,30,0.7,13,34,Good,34,PM10
10-Aug,Manali,6,8,0.6,26,51,Satisfactory,51,PM10
11-Aug,Kodungaiyur,13,15,0.6,11,50,Good,50,PM10
11-Aug,Koyambedu,7,8,-,18,57,Satisfactory,57,PM10
11-Aug,Perungudi,4,10,0.6,10,48,Good,48,PM10
11-Aug,Royapuram,6,25,0.7,13,41,Good,41,PM10
11-Aug,Manali,12,7,0.6,30,66,Satisfactory,66,PM10
12-Aug,Kodungaiyur,12,10,0.6,8,36,Good,36,PM10
12-Aug,Koyambedu,6,8,-,15,38,Good,38,PM10
12-Aug,Perungudi,5,10,0.6,7,36,Good,36,PM10
12-Aug,Royapuram,7,16,0.5,10,37,Good,37,PM10
12-Aug,Manali,11,8,0.5,24,60,Satisfactory,60,PM10
13-Aug,Kodungaiyur,15,12,0.6,10,38,Good,38,PM10
13-Aug,Koyambedu,6,8,-,20,44,Good,44,PM10
13-Aug,Perungudi,4,11,0.6,7,47,Good,47,PM10
13-Aug,Royapuram,7,25,0.7,11,35,Good,35,PM10
13-Aug,Manali,12,8,0.6,34,61,Satisfactory,61,PM10
14-Aug,Kodungaiyur,11,9,0.4,6,21,Good,21,PM10
14-Aug,Koyambedu,5,4,-,7,29,Good,29,PM10
14-Aug,Perungudi,5,11,0.6,7,35,Good,35,PM10
14-Aug,Royapuram,4,10,0.3,5,16,Good,16,PM10
14-Aug,Manali,13,9,0.5,26,48,Good,48,PM10
15-Aug,Kodungaiyur,11,9,0.3,4,19,Good,19,PM10
15-Aug,Koyambedu,5,3,-,5,19,Good,19,PM10
15-Aug,Perungudi,5,11,0.4,8,20,Good,20,PM10
15-Aug,Royapuram,4,18,0.3,4,16,Good,16,PM10
15-Aug,Manali,12,5,0.5,13,40,Good,40,PM10
16-Aug,Kodungaiyur,12,10,0.3,5,23,Good,23,PM10
16-Aug,Koyambedu,5,4,-,6,25,Good,25,PM10
16-Aug,Perungudi,5,11,0.5,6,30,Good,30,PM10
16-Aug,Royapuram,4,15,0.4,6,28,Good,28,PM10
16-Aug,Manali,12,10,0.5,18,44,Good,44,PM10
17-Aug,Kodungaiyur,11,10,0.5,7,27,Good,27,PM10
17-Aug,Koyambedu,5,4,-,7,32,Good,32,PM10
17-Aug,Perungudi,5,10,0.5,10,35,Good,35,PM10
17-Aug,Royapuram,6,16,0.4,6,24,Good,24,PM10
17-Aug,Manali,13,10,0.5,24,53,Satisfactory,53,PM10
18-Aug,Kodungaiyur,12,11,0.4,5,31,Good,31,PM10
18-Aug,Koyambedu,6,3,-,10,32,Good,32,PM10
18-Aug,Perungudi,4,10,0.5,7,38,Good,38,PM10
18-Aug,Royapuram,5,19,0.6,11,32,Good,32,PM10
18-Aug,Manali,,,,,N/A (EB Issue),,,
19-Aug,Kodungaiyur,9,8,0.6,6,31,Good,31,PM10
19-Aug,Koyambedu,7,3,-,12,36,Good,36,PM10
19-Aug,Perungudi,4,10,0.5,12,42,Good,42,PM10
19-Aug,Royapuram,6,21,0.6,11,33,Good,33,PM10
19-Aug,Manali,10,6,0.9,53,126,Moderate,117,PM10
20-Aug,Kodungaiyur,12,13,0.6,6,34,Good,34,PM10
20-Aug,Koyambedu,7,5,-,11,47,Good,47,PM10
20-Aug,Perungudi,5,10,0.6,9,40,Good,40,PM10
20-Aug,Royapuram,6,20,0.6,9,36,Good,36,PM10
20-Aug,Manali,11,8,0.4,24,54,Satisfactory,54,PM10
21-Aug,Kodungaiyur,10,12,0.5,7,28,Good,28,PM10
21-Aug,Koyambedu,8,4,-,8,39,Good,39,PM10
21-Aug,Perungudi,4,9,0.5,6,43,Good,43,PM10
21-Aug,Royapuram,5,18,0.5,9,40,Good,40,PM10
21-Aug,Manali,11,9,0.5,23,49,Good,49,PM10
23-Aug,Kodungaiyur,25,31,0.7,8,41,,41,PM10
23-Aug,Koyambedu,10,121,-,11,52,Satisfactory,52,PM10
23-Aug,Perungudi,5,9,0.6,10,45,Good,45,PM10
23-Aug,Royapuram,7,21,0.7,10,46,Good,46,PM10
23-Aug,Manali,14,2,0.6,46,89,,89,PM10
24-Aug,Kodungaiyur,5,13,0.6,8,48,,48,PM10
24-Aug,Koyambedu,7,5,-,7,51,Satisfactory,51,PM10
24-Aug,Perungudi,4,5,0.6,9,53,Satisfactory,53,PM10
24-Aug,Royapuram,3,24,0.7,10,49,Good,49,PM10
24-Aug,Manali,13,2,0.5,26,62,Satisfactory,62,PM10
25-Aug,Kodungaiyur,4,15,0.7,10,58,Satisfactory,58,PM10
25-Aug,Koyambedu,7,4,-,13,57,Satisfactory,57,PM10
25-Aug,Perungudi,4,4,0.6,10,83,Satisfactory,83,PM10
25-Aug,Royapuram,4,16,0.7,11,58,Satisfactory,58,PM10
25-Aug,Manali,15,9,0.5,22,74,Satisfactory,74,PM10
26-Aug,Kodungaiyur,12,11,0.5,10,46,Good,46,PM10
26-Aug,Koyambedu,6,4,-,9,45,Good,45,PM10
26-Aug,Perungudi,4,11,0.6,10,64,Satisfactory,64,PM10
26-Aug,Royapuram,3,24,0.7,11,52,Satisfactory,52,PM10
26-Aug,Manali,15,6,0.5,19,51,Satisfactory,51,PM10
27-Aug,Kodungaiyur,32,13,0.6,8,48,Good,48,PM10
27-Aug,Koyambedu,6,5,-,11,50,Good,50,PM10
27-Aug,Perungudi,5,13,0.6,11,64,Satisfactory,64,PM10
27-Aug,Royapuram,10,18,0.8,11,54,Satisfactory,54,PM10
27-Aug,Manali,11,8,0.5,24,55,Satisfactory,55,PM10
28-Aug,Kodungaiyur,12,13,0.6,8,48,Good,48,PM10
28-Aug,Koyambedu,6,5,-,11,50,Good,50,PM10
28-Aug,Perungudi,4,14,0.6,13,58,Satisfactory,58,PM10
28-Aug,Royapuram,4,13,0.9,18,53,Satisfactory,53,PM10
28-Aug,Manali,13,7,0.5,33,59,Satisfactory,59,PM10
29-Aug,Kodungaiyur,20,17,0.7,10,41,Good,41,PM10
29-Aug,Koyambedu,6,6,-,18,50,Good,50,PM10
29-Aug,Perungudi,4,14,0.7,15,56,Satisfactory,56,PM10
29-Aug,Royapuram,4,29,0.8,14,51,Satisfactory,51,PM10
29-Aug,Manali,16,10,0.7,30,51,Satisfactory,51,PM10
30-Aug,Kodungaiyur,11,16,0.6,11,33,Good,33,PM10
30-Aug,Koyambedu,6,7,-,14,52,Satisfactory,52,PM10
30-Aug,Perungudi,4,16,0.6,12,57,Satisfactory,57,PM10
30-Aug,Royapuram,4,25,0.9,20,79,Satisfactory,79,PM10
30-Aug,Manali,15,10,0.6,22,53,Satisfactory,53,PM10
31-Aug,Kodungaiyur,10,12,0.5,8,28,Good,28,PM10
31-Aug,Koyambedu,6,7,-,14,38,Good,38,PM10
31-Aug,Perungudi,3,17,0.6,13,44,Good,44,PM10
31-Aug,Royapuram,3,37,0.7,14,41,Good,41,PM10
31-Aug,Manali,14,15,0.5,29,38,Good,38,PM10
